antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'0'}),frozenset({'1'}),0.7789666666666667,0.8569333333333333,0.6359,0.8163378835209038,0.9526270618339471,-0.03162250222222218,0.7789666666666667,-0.18366211647909603
frozenset({'1'}),frozenset({'0'}),0.8569333333333333,0.7789666666666667,0.6359,0.7420647269332504,0.9526270618339472,-0.03162250222222218,0.8569333333333334,-0.2579352730667493
frozenset({'2'}),frozenset({'0'}),0.9033,0.7789666666666667,0.7064,0.7820214768072623,1.0039216185638182,0.0027594100000000177,1.0140142712036568,0.040396065635976135
frozenset({'0'}),frozenset({'2'}),0.7789666666666667,0.9033,0.7064,0.906842398048697,1.0039216185638182,0.0027594100000000177,1.0380258612769873,0.01767289796561104
frozenset({'3'}),frozenset({'0'}),0.17123333333333332,0.7789666666666667,0.12823333333333334,0.7488806696515476,0.9613770417881137,-0.005151725555555542,0.8801924289405686,-0.04623398783185994
frozenset({'2'}),frozenset({'1'}),0.9033,0.8569333333333333,0.7602333333333333,0.8416177718735008,0.9821274761243591,-0.013834546666666614,0.9032999999999999,-0.15838222812649852
frozenset({'1'}),frozenset({'2'}),0.8569333333333333,0.9033,0.7602333333333333,0.8871557491831337,0.9821274761243592,-0.013834546666666614,0.8569333333333335,-0.1128442508168659
frozenset({'3'}),frozenset({'1'}),0.17123333333333332,0.8569333333333333,0.13946666666666666,0.8144831613782363,0.9504626902655628,-0.007268884444444457,0.771178873732074,-0.0591667514705869
frozenset({'3'}),frozenset({'2'}),0.17123333333333332,0.9033,0.13363333333333333,0.7804165855557719,0.8639616800130321,-0.02104173666666667,0.44037934397163125,-0.1596579659301362
"frozenset({'2', '0'})",frozenset({'1'}),0.7064,0.8569333333333333,0.5633333333333334,0.7974707436768592,0.9306100167382051,-0.04200437333333329,0.7064000000000001,-0.20252925632314062
"frozenset({'2', '1'})",frozenset({'0'}),0.7602333333333333,0.7789666666666667,0.5633333333333334,0.7410005700004385,0.9512609482653581,-0.028863092222222164,0.8534124315783534,-0.17606784665123573
"frozenset({'0', '1'})",frozenset({'2'}),0.6359,0.9033,0.5633333333333334,0.885883524663207,0.9807190575259681,-0.011075136666666707,0.8473798346348184,-0.05122995000527423
frozenset({'2'}),"frozenset({'0', '1'})",0.9033,0.6359,0.5633333333333334,0.6236392486807631,0.9807190575259681,-0.011075136666666707,0.9674228747916462,-0.16895844721043066
frozenset({'0'}),"frozenset({'2', '1'})",0.7789666666666667,0.7602333333333333,0.5633333333333334,0.7231802815696008,0.9512609482653582,-0.028863092222222164,0.8661473540475089,-0.18818208107533016
frozenset({'1'}),"frozenset({'2', '0'})",0.8569333333333333,0.7064,0.5633333333333334,0.6573829158238681,0.9306100167382051,-0.04200437333333329,0.8569333333333333,-0.34261708417613157
"frozenset({'3', '2'})",frozenset({'0'}),0.13363333333333333,0.7789666666666667,0.10143333333333333,0.7590421551509104,0.9744218689086959,-0.002662578888888892,0.9173112146307797,-0.029407426226148142
"frozenset({'3', '0'})",frozenset({'2'}),0.12823333333333334,0.9033,0.10143333333333333,0.7910059786846894,0.8756846880158191,-0.014399836666666666,0.46269266169154233,-0.14004076485946618
frozenset({'3'}),"frozenset({'2', '0'})",0.17123333333333332,0.7064,0.10143333333333333,0.592369087015768,0.8385745852431596,-0.019525893333333336,0.7202594078319006,-0.18849123309972793
"frozenset({'3', '2'})",frozenset({'1'}),0.13363333333333333,0.8569333333333333,0.10186666666666666,0.762284859067099,0.889549781080324,-0.01264819111111111,0.6018407834907309,-0.12535114903703995
"frozenset({'3', '1'})",frozenset({'2'}),0.13946666666666666,0.9033,0.10186666666666666,0.7304015296367113,0.8085924162921636,-0.024113573333333332,0.3586815602836881,-0.2157365599508656
frozenset({'3'}),"frozenset({'2', '1'})",0.17123333333333332,0.7602333333333333,0.10186666666666666,0.5948997469340082,0.782522576753639,-0.0283106211111111,0.5918699503443857,-0.251126909623804
