Cluster,Average Happiness Score,Cluster,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Correlation with Happiness Score,Cluster,Number of Countries
0.0,5.36917924528302,0.0,80.15094339622641,79.20754716981132,5.36917924528302,0.8683679245283018,1.221754716981132,0.6458396226415095,0.42868867924528303,0.2108679245283019,0.10433018867924528,,0.0,106.0
1.0,5.403254901960784,1.0,78.56862745098039,26.08823529411765,5.403254901960784,0.8861764705882353,1.1624313725490196,0.6649019607843136,0.4149803921568628,0.1539607843137255,0.1143627450980392,,2.0,103.0
2.0,5.38942718446602,2.0,77.30097087378641,132.80582524271844,5.38942718446602,0.9294757281553399,1.2523300970873787,0.6735436893203883,0.4280679611650485,0.1828252427184466,0.1154368932038835,,1.0,102.0
,,,,,,,,,,,,1.0,,
,,,,,,,,,,,,0.7997641903519344,,
,,,,,,,,,,,,0.7714014168734474,,
,,,,,,,,,,,,0.7576207462940682,,
,,,,,,,,,,,,0.5455333255145951,,
,,,,,,,,,,,,0.395318572944258,,
,,,,,,,,,,,,0.10678335667523009,,
,,,,,,,,,,,,0.007546994270176371,,
,,,,,,,,,,,,-0.014874669372037458,,
,,,,,,,,,,,,-0.9902797276695996,,
