Date,Value1,Value2,Value3
2023-01-01,0.04967141530112327,1.0357787360348283,9.202786170602817
2023-01-02,0.0865069759968601,1.051032324742243,9.800815001085928
2023-01-03,0.2644230756393263,1.0881715395526625,10.20362687498472
2023-01-04,0.44926306170925145,1.0602701010665794,10.324997834570814
2023-01-05,0.3678535957884555,0.7825094466157985,10.176977314511634
2023-01-06,0.45821530860139126,0.782592702310301,10.81393752898782
2023-01-07,0.7250496337757314,0.8751329531637082,10.069204860685588
2023-01-08,0.7236475686730259,0.8139499628279508,10.632327845429051
2023-01-09,0.6732036790915398,0.7453220123605331,10.864167916358461
2023-01-10,0.8403861946844039,1.0033340876939456,11.1617420300947
2023-01-11,0.7978336667209838,0.593156055510408,11.360832564672586
2023-01-12,0.8471280718905657,0.5622195089428201,10.54320659227202
2023-01-13,0.9584034260816925,0.45213104055445047,10.438973065385957
2023-01-14,0.7739570681251793,0.3263376894866334,11.945371074265838
2023-01-15,0.8141292989416339,0.13150325731969947,11.573192181869192
2023-01-16,0.9417710865423482,0.1391133789648264,11.133294420163935
2023-01-17,0.8980234150490741,-0.11451778605976767,12.383616188766286
2023-01-18,1.0219526908750203,-0.16099305898674052,11.766380030714268
2023-01-19,0.8809503190817771,-0.2845377070662908,12.398693818162567
2023-01-20,0.8019399484377706,-0.32412230630155714,11.943306979398521
2023-01-21,1.0516340712930905,-0.19379847683175921,13.040424213697275
2023-01-22,0.8352562503651328,-0.7006535895855253,12.988223185040697
2023-01-23,0.8086939079496855,-0.5287771046654318,12.086573202142372
2023-01-24,0.5954800813439592,-0.8361216190647277,12.797343264421901
2023-01-25,0.6120828103858837,-0.7926793676258652,12.734748276300111
2023-01-26,0.5994528234256121,-0.6997036332249342,13.196878592836526
2023-01-27,0.3891628030158873,-0.8571226180471267,12.130603596343114
2023-01-28,0.452644416185011,-1.0175618510411146,13.056593569195199
2023-01-29,0.26163415977127746,-1.0183726905811221,13.343282595183588
2023-01-30,0.19590540940339776,-0.9063817162866369,12.035203121110051
2023-01-31,0.06600936648367249,-1.0650440223218152,12.423446120551535
2023-02-01,0.2112396483662942,-0.9780157761486282,12.095961800567185
2023-02-02,-0.07576860839065515,-0.9926698861490594,13.081376984787772
2023-02-03,-0.2798696402124966,-1.0498882692609146,13.675354042470845
2023-02-04,-0.1897666704345889,-0.7478968607033064,14.168263953183692
