support,itemsets
0.011190339874043616,frozenset({' WHITE CHERRY LIGHTS'})
0.012855878832040805,frozenset({'10 COLOUR SPACEBOY PEN'})
0.013064071201790454,frozenset({'12 PENCIL SMALL TUBE WOODLAND'})
0.015822620100973298,frozenset({'12 PENCILS SMALL TUBE RED SPOTTY'})
0.021443814084213815,frozenset({'12 PENCILS SMALL TUBE SKULL'})
0.010930099411856556,frozenset({'12 PENCILS TALL TUBE RED SPOTTY'})
0.014729610159787644,frozenset({'12 PENCILS TALL TUBE SKULLS'})
0.011866965075729975,frozenset({'12 PENCILS TALL TUBE WOODLAND'})
0.012127205537917036,frozenset({'15CM CHRISTMAS GLASS BALL 20 LIGHTS'})
0.013532504033727164,frozenset({'20 DOLLY PEGS RETROSPOT'})
0.021808150731275698,frozenset({'3 HEARTS HANGING DECORATION RUSTIC'})
0.01295997501691563,frozenset({'3 HOOK PHOTO SHELF ANTIQUE WHITE'})
0.017540207151407902,frozenset({'3 STRIPEY MICE FELTCRAFT'})
0.010513714672357259,frozenset({'36 PENCILS TUBE RED SPOTTY'})
0.011710820798417738,frozenset({'36 PENCILS TUBE SKULLS'})
0.01150262842866809,frozenset({'36 PENCILS TUBE WOODLAND'})
0.015822620100973298,frozenset({'4 TRADITIONAL SPINNING TOPS'})
0.03450788528600427,frozenset({'6 RIBBONS RUSTIC CHARM'})
0.01946598657159215,frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'})
0.059126633008900226,frozenset({'60 TEATIME FAIRY CAKE CASES'})
0.03612137615156404,frozenset({'72 SWEETHEART FAIRY CAKE CASES'})
0.011866965075729975,frozenset({'ADVENT CALENDAR GINGHAM SACK'})
0.014261177327850934,frozenset({'AGED GLASS SILVER T-LIGHT HOLDER'})
0.014052984958101285,frozenset({'AIRLINE BAG VINTAGE TOKYO 78'})
0.015406235361474003,frozenset({'ALARM CLOCK BAKELIKE GREEN'})
0.015874668193410713,frozenset({'ALARM CLOCK BAKELIKE RED '})
0.010773955134544318,frozenset({'ANT WHITE WIRE HEART SPIRAL'})
0.014625513974912819,frozenset({'ANTIQUE LILY FAIRY LIGHTS'})
0.015198042991724354,frozenset({'ANTIQUE SILVER TEA GLASS ENGRAVED'})
0.035080414302815804,frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'})
0.017592255243845313,frozenset({'AREA PATROLLED METAL SIGN'})
0.06938010721907042,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'})
0.019986467495966272,frozenset({'ASSORTED COLOUR MINI CASES'})
0.016447197210222246,frozenset({'ASSORTED COLOURS SILK FAN'})
0.020038515588403687,frozenset({'ASSTD DESIGN BUBBLE GUM RING'})
0.012179253630354447,frozenset({'BABUSHKA LIGHTS STRING OF 10'})
0.011190339874043616,frozenset({'BABY BOOM RIBBONS '})
0.011086243689168792,frozenset({'BAG 125g SWIRLY MARBLES'})
0.01415708114297611,frozenset({'BAG 250g SWIRLY MARBLES'})
0.04621870608442201,frozenset({'BAKING SET 9 PIECE RETROSPOT '})
0.02467079581533337,frozenset({'BAKING SET SPACEBOY DESIGN'})
0.010409618487482434,frozenset({'BALLOONS  WRITING SET '})
0.015093946806849529,frozenset({'BATH BUILDING BLOCK WORD'})
0.02899078748763858,frozenset({'BATHROOM METAL SIGN'})
0.022484775932962057,frozenset({'BEWARE OF THE CAT METAL SIGN '})
0.012855878832040805,frozenset({'BIG DOUGHNUT FRIDGE MAGNETS'})
0.018841409462343205,frozenset({'BINGO SET'})
0.017488159058970488,frozenset({'BLACK HEART CARD HOLDER'})
0.012335397907666685,frozenset({'BLACK RECORD COVER FRAME'})
0.014729610159787644,frozenset({'BLACK/BLUE DOTS RUFFLED UMBRELLA'})
0.015510331546348826,frozenset({'BLUE  SPOTTY CUP'})
0.023161401134648416,frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'})
0.014833706344662467,frozenset({'BLUE HAPPY BIRTHDAY BUNTING'})
0.01655129339509707,frozenset({'BLUE HARMONICA IN BOX '})
0.015510331546348826,frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'})
0.010201426117732785,frozenset({'BLUE SPOTS  WRAP'})
0.013428407848852339,frozenset({'BLUE SPOTTY BOWL'})
0.015458283453911413,frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'})
0.019570082756466975,frozenset({'BOX OF 24 COCKTAIL PARASOLS'})
0.015510331546348826,frozenset({'BOX OF VINTAGE ALPHABET BLOCKS'})
0.015250091084161765,frozenset({'BOX OF VINTAGE JIGSAW BLOCKS '})
0.014313225420288346,frozenset({'BRIGHT BLUES RIBBONS '})
0.012595638369853744,frozenset({'BROWN CHECK CAT DOORSTOP '})
0.014781658252225056,frozenset({'CACTI T-LIGHT CANDLES'})
0.015874668193410713,frozenset({'CAKE STAND 3 TIER MAGIC GARDEN'})
0.012179253630354447,frozenset({'CAKE STAND WHITE TWO TIER LACE'})
0.011658772705980326,frozenset({'CAMOUFLAGE LED TORCH'})
0.010201426117732785,frozenset({'CANDLEHOLDER PINK HANGING HEART'})
0.014000936865663874,frozenset({'CARD HOLDER GINGHAM HEART'})
0.011346484151355854,frozenset({'CERAMIC CAKE BOWL + HANGING CAKES'})
0.014833706344662467,frozenset({'CERAMIC CAKE DESIGN SPOTTED MUG'})
0.014000936865663874,frozenset({'CERAMIC CAKE STAND + HANGING CAKES'})
0.015145994899286941,frozenset({'CERAMIC CHERRY CAKE MONEY BANK'})
0.01727996668922084,frozenset({'CERAMIC HEART FAIRY CAKE MONEY BANK'})
0.022745016395149118,frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'})
0.014729610159787644,frozenset({'CHARLIE + LOLA RED HOT WATER BOTTLE'})
0.01295997501691563,frozenset({'CHARLIE+LOLA PINK HOT WATER BOTTLE'})
0.013636600218601988,"frozenset({'CHARLOTTE BAG , PINK/WHITE SPOTS'})"
0.012179253630354447,"frozenset({'CHARLOTTE BAG , SUKI DESIGN'})"
0.010461666579919846,frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'})
0.012803830739603393,frozenset({'CHARLOTTE BAG PINK WITH WHITE SPOTS'})
0.020090563680841098,frozenset({'CHARLOTTE BAG SUKI DESIGN'})
0.02206839119346276,frozenset({'CHICK GREY HOT WATER BOTTLE'})
0.014625513974912819,frozenset({'CHILDRENS APRON SPACEBOY DESIGN'})
0.015041898714412116,frozenset({'CHILDS APRON SPACEBOY DESIGN'})
0.015145994899286941,frozenset({'CHILDS BREAKFAST SET CIRCUS PARADE'})
0.014937802529537293,frozenset({'CHILDS BREAKFAST SET DOLLY GIRL '})
0.014365273512725759,frozenset({'CHILDS BREAKFAST SET SPACEBOY '})
0.010201426117732785,frozenset({'CHILDS GARDEN FORK PINK'})
0.011554676521105502,frozenset({'CHILDS GARDEN TROWEL BLUE '})
0.01202310935304221,frozenset({'CHILDS GARDEN TROWEL PINK'})
0.022588872117836882,frozenset({'CHILLI LIGHTS'})
0.01249154218497892,frozenset({'CHOCOLATE BOX RIBBONS '})
0.041690522042367145,frozenset({'CHOCOLATE HOT WATER BOTTLE'})
0.022901160672461354,frozenset({'CHOCOLATE THIS WAY METAL SIGN'})
0.015510331546348826,frozenset({'CHRISTMAS GINGHAM HEART'})
0.012439494092541508,frozenset({'CHRISTMAS RETROSPOT HEART WOOD'})
0.010878051319419144,frozenset({'CHRISTMAS RETROSPOT STAR WOOD'})
0.014209129235413523,frozenset({'CHRISTMAS TOILET ROLL'})
0.011398532243793265,frozenset({'CIRCUS PARADE LUNCH BOX '})
0.010513714672357259,frozenset({'CITRONELLA CANDLE FLOWERPOT'})
0.010253474210170197,frozenset({'CITRONELLA CANDLE GARDEN POT'})
0.021027429344714518,frozenset({'CLOTHES PEGS RETROSPOT PACK 24 '})
0.013064071201790454,frozenset({'COFFEE MUG APPLES DESIGN'})
0.015510331546348826,frozenset({'COFFEE MUG CAT + BIRD DESIGN'})
0.014521417790037995,frozenset({'COFFEE MUG DOG + BALL DESIGN'})
0.030187893613699057,frozenset({'COLOUR GLASS T-LIGHT HOLDER HANGING'})
0.023213449227085826,frozenset({'COLOUR GLASS. STAR T-LIGHT HOLDER'})
0.012075157445479623,frozenset({'COLOURING PENCILS BROWN TUBE'})
0.033466923437256026,frozenset({'COOK WITH WINE METAL SIGN '})
0.010982147504293967,frozenset({'COOKING SET RETROSPOT'})
0.013740696403476813,frozenset({'CORONA MEXICAN TRAY'})
0.01176286889085515,frozenset({'COSY HOUR CIGAR BOX MATCHES '})
0.01269973455472857,frozenset({'COSY HOUR GIANT TUBE MATCHES'})
0.015614427731223651,frozenset({'COWBOYS AND INDIANS BIRTHDAY CARD '})
0.026804767605267267,frozenset({'CREAM CUPID HEARTS COAT HANGER'})
0.03601727996668922,frozenset({'CREAM HEART CARD HOLDER'})
0.011814916983292562,frozenset({'CREAM SWEETHEART LETTER RACK'})
0.01941393847915474,frozenset({'CREAM SWEETHEART MINI CHEST'})
0.012075157445479623,frozenset({'CREAM SWEETHEART TRAYS'})
0.012075157445479623,frozenset({'DELUXE SEWING KIT '})
0.010982147504293967,frozenset({'DINOSAURS  WRITING SET '})
0.020975381252277103,frozenset({'DOLLY GIRL LUNCH BOX'})
0.012803830739603393,frozenset({'DOOR MAT 3 SMILEY CATS'})
0.015145994899286941,frozenset({'DOOR MAT ENGLISH ROSE '})
0.016447197210222246,frozenset({'DOOR MAT FAIRY CAKE'})
0.010045281840420549,frozenset({'DOOR MAT FANCY FONT HOME SWEET HOME'})
0.014625513974912819,frozenset({'DOOR MAT HEARTS'})
0.02201634310102535,frozenset({'DOOR MAT NEW ENGLAND'})
0.019205746109405092,frozenset({'DOOR MAT RED SPOT'})
0.013324311663977515,frozenset({'DOOR MAT SPOTTY HOME SWEET HOME'})
0.03315463488263155,frozenset({'DOOR MAT UNION FLAG'})
0.011919013168167387,frozenset({'DOOR MAT WELCOME PUPPIES'})
0.010045281840420549,frozenset({'DOORMAT FANCY FONT HOME SWEET HOME'})
0.02035080414302816,frozenset({'DOORMAT HEARTS'})
0.01103419559673138,frozenset({'DOORMAT NEW ENGLAND'})
0.011138291781606205,frozenset({'DOORMAT RED RETROSPOT'})
0.012595638369853744,frozenset({'DOORMAT SPOTTY HOME SWEET HOME'})
0.01972622703377921,frozenset({'DOORMAT UNION FLAG'})
0.018320928537969083,frozenset({'DOORSTOP RETROSPOT HEART'})
0.02664862332795503,frozenset({'EDWARDIAN PARASOL BLACK'})
0.025815853848956436,frozenset({'EDWARDIAN PARASOL NATURAL'})
0.019153698016967678,frozenset({'EDWARDIAN PARASOL RED'})
0.014261177327850934,"frozenset({'ELEPHANT, BIRTHDAY CARD, '})"
0.011971061260604798,frozenset({'EMPIRE BIRTHDAY CARD'})
0.012647686462291157,frozenset({'ENAMEL BREAD BIN CREAM'})
0.014209129235413523,frozenset({'ENAMEL FLOWER JUG CREAM'})
0.011606724613542913,frozenset({'ENAMEL MEASURING JUG CREAM'})
0.013324311663977515,frozenset({'ENCHANTED BIRD COATHANGER 5 HOOK'})
0.016655389579971893,frozenset({'ENGLISH ROSE DESIGN PEG BAG'})
0.01030552230260761,frozenset({'ENGLISH ROSE NOTEBOOK A7 SIZE'})
0.010878051319419144,frozenset({'FAIRY CAKE BIRTHDAY CANDLE SET'})
0.011658772705980326,frozenset({'FAIRY CAKE FLANNEL ASSORTED COLOUR'})
0.015250091084161765,frozenset({'FAMILY ALBUM WHITE PICTURE FRAME'})
0.01608286056316036,"frozenset({'FANCY FONT BIRTHDAY CARD, '})"
0.013324311663977515,frozenset({'FANCY FONTS BIRTHDAY WRAP'})
0.014417321605163172,"frozenset({""FANNY'S REST STOPMETAL SIGN""})"
0.025815853848956436,frozenset({'FAWN BLUE HOT WATER BOTTLE'})
0.03919221360537136,frozenset({'FELTCRAFT 6 FLOWER FRIENDS'})
0.03221776921875813,frozenset({'FELTCRAFT BUTTERFLY HEARTS'})
0.014365273512725759,frozenset({'FELTCRAFT CHRISTMAS FAIRY'})
0.021652006453963462,frozenset({'FELTCRAFT CUSHION BUTTERFLY'})
0.020246707958153334,frozenset({'FELTCRAFT CUSHION OWL'})
0.020194659865715923,frozenset({'FELTCRAFT CUSHION RABBIT'})
0.01868526518503097,frozenset({'FELTCRAFT DOLL EMILY'})
0.01249154218497892,frozenset({'FELTCRAFT DOLL MARIA'})
0.021756102638838287,frozenset({'FELTCRAFT DOLL MOLLY'})
0.023161401134648416,frozenset({'FELTCRAFT DOLL ROSIE'})
0.01249154218497892,frozenset({'FELTCRAFT PRINCESS CHARLOTTE DOLL'})
0.012647686462291157,frozenset({'FELTCRAFT PRINCESS LOLA DOLL'})
0.016134908655597774,frozenset({'FILIGRIS HEART WITH BUTTERFLY'})
0.015978764378285534,frozenset({'FIRST AID TIN'})
0.010617810857232082,frozenset({'FIVE HEART HANGING DECORATION'})
0.013012023109353042,frozenset({'FOLKART ZINC HEART CHRISTMAS DEC'})
0.01696767813459637,frozenset({'FOOD CONTAINER SET 3 LOVE HEART '})
0.01894550564721803,frozenset({'FOUR HOOK  WHITE LOVEBIRDS'})
0.010045281840420549,frozenset({'FROSTED BOX 9 WHITE T-LIGHT CANDLES'})
0.011190339874043616,frozenset({'FRYING PAN UNION FLAG'})
0.012439494092541508,frozenset({'FULL ENGLISH BREAKFAST PLATE'})
0.01295997501691563,frozenset({'FUNKY WASHING UP GLOVES ASSORTED'})
0.013480455941289752,frozenset({'GAOLERS KEYS DECORATIVE GARDEN '})
0.012439494092541508,frozenset({'GARDEN METAL SIGN '})
0.023369593504398063,frozenset({'GARDENERS KNEELING PAD'})
0.013012023109353042,frozenset({'GIN & TONIC DIET GREETING CARD '})
0.0389319731431843,frozenset({'GIN + TONIC DIET METAL SIGN'})
