antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.059126633008900226,0.03612137615156404,0.018789361369905794,0.31778169014084506,8.797607511060601,0.016653626018415826,1.412859505408804,0.9420319081332134
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.03612137615156404,0.059126633008900226,0.018789361369905794,0.5201729106628243,8.797607511060601,0.016653626018415826,1.960859209284755,0.9195480751295481
frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.031801384479258836,0.059126633008900226,0.018581169000156144,0.5842880523731587,9.881977420990756,0.01670086021087607,2.263281996974653,0.928327787409986
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),0.059126633008900226,0.031801384479258836,0.018581169000156144,0.3142605633802817,9.881977420990756,0.01670086021087607,1.411904527896742,0.9552886818277679
frozenset({'PACK OF 60 MUSHROOM CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.023213449227085826,0.059126633008900226,0.010617810857232082,0.45739910313901344,7.7359233878607965,0.00924527776391144,1.7340062879257458,0.8914260221059703
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 MUSHROOM CAKE CASES'}),0.059126633008900226,0.023213449227085826,0.010617810857232082,0.17957746478873238,7.7359233878607965,0.00924527776391144,1.1905896155343676,0.9254517982443295
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.04830062978191849,0.059126633008900226,0.024358507260708893,0.5043103448275862,8.529326280961632,0.021502653649494642,1.8981097490603056,0.9275591360907194
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.059126633008900226,0.04830062978191849,0.024358507260708893,0.41197183098591544,8.52932628096163,0.021502653649494642,1.6184588092331447,0.9382319413298005
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 SPACEBOY CAKE CASES'}),0.059126633008900226,0.026700671420392442,0.012855878832040805,0.21742957746478872,8.143225091288471,0.01127715803187603,1.2437210767901397,0.9323236922396074
frozenset({'PACK OF 60 SPACEBOY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.026700671420392442,0.059126633008900226,0.012855878832040805,0.4814814814814815,8.143225091288471,0.01127715803187603,1.8145414934828354,0.9012628547922665
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.060375787227398114,0.059126633008900226,0.024878988185083016,0.41206896551724137,6.969261474016513,0.021309171171065202,1.6003124717150672,0.9115482144972021
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.059126633008900226,0.060375787227398114,0.024878988185083016,0.42077464788732394,6.969261474016513,0.021309171171065202,1.6222083673399328,0.9103379939325104
frozenset({'PACK OF 72 SKULL CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.034924270025503565,0.059126633008900226,0.015041898714412116,0.4307004470938897,7.284372966562414,0.012976944217510432,1.6526859404477174,0.8939400272979814
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 SKULL CAKE CASES'}),0.059126633008900226,0.034924270025503565,0.015041898714412116,0.2544014084507042,7.2843729665624135,0.012976944217510432,1.2943636708984982,0.916935110148762
frozenset({'SET OF 36 TEATIME PAPER DOILIES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.02113152552958934,0.059126633008900226,0.011450580336230677,0.541871921182266,9.164599666967321,0.010201144381324443,2.0537343387010027,0.9101166393557525
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'SET OF 36 TEATIME PAPER DOILIES'}),0.059126633008900226,0.02113152552958934,0.011450580336230677,0.1936619718309859,9.164599666967321,0.010201144381324443,1.2139678897362298,0.9468697038426529
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.059126633008900226,0.06948420340394525,0.011606724613542913,0.19630281690140844,2.8251430869863374,0.007498357618962067,1.1577940251184209,0.6866339830287527
frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.06948420340394525,0.059126633008900226,0.011606724613542913,0.16704119850187266,2.8251430869863374,0.007498357618962067,1.1295557058751065,0.694276905202526
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.059126633008900226,0.15723728725342218,0.014781658252225056,0.25,1.5899536577292286,0.005484746873476939,1.123683616995437,0.3943685346019804
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.15723728725342218,0.059126633008900226,0.014781658252225056,0.09400860642171466,1.5899536577292286,0.005484746873476939,1.0385014401461865,0.4402791501976285
frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.031801384479258836,0.03612137615156404,0.012647686462291157,0.397708674304419,11.010341151888763,0.011498976691375338,1.6003528238353106,0.9390390342557972
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),0.03612137615156404,0.031801384479258836,0.012647686462291157,0.3501440922190202,11.010341151888765,0.011498976691375338,1.4898666057015397,0.94324769778208
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.04830062978191849,0.03612137615156404,0.015406235361474003,0.31896551724137934,8.830381099075824,0.013661550144763888,1.4153154476761844,0.9317591586664598
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.03612137615156404,0.04830062978191849,0.015406235361474003,0.42651296829971186,8.830381099075824,0.013661550144763888,1.6594958867621825,0.9199857560460185
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.060375787227398114,0.03612137615156404,0.014833706344662467,0.24568965517241378,6.8017800357746205,0.012652849823774823,1.277827661330498,0.9077880820702395
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.03612137615156404,0.060375787227398114,0.014833706344662467,0.4106628242074928,6.80178003577462,0.012652849823774823,1.5943745810860286,0.8849450966906439
frozenset({'PACK OF 72 SKULL CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.034924270025503565,0.03612137615156404,0.010461666579919846,0.2995529061102832,8.292953869015664,0.009200153885509838,1.3760905459623416,0.9112400997922694
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 72 SKULL CAKE CASES'}),0.03612137615156404,0.034924270025503565,0.010461666579919846,0.2896253602305476,8.292953869015664,0.009200153885509838,1.3585447395584191,0.9123718305712111
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.015874668193410713,0.015406235361474003,0.010461666579919846,0.659016393442623,42.775952591936196,0.010217097705446855,2.887510559757216,0.9923760192058536
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.015406235361474003,0.015874668193410713,0.010461666579919846,0.6790540540540541,42.775952591936196,0.010217097705446855,3.066327349628952,0.9919038838687043
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.06110446052152189,0.06938010721907042,0.011294436058918441,0.1848381601362862,2.664137712451963,0.0070550020363717965,1.1416381965776503,0.665296619229764
frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.06938010721907042,0.06110446052152189,0.011294436058918441,0.1627906976744186,2.664137712451963,0.0070550020363717965,1.1214585610437378,0.6712128475551294
frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'PAINTED METAL PEARS ASSORTED'}),0.06938010721907042,0.019518034664029564,0.014469369697600582,0.20855213803450862,10.685099274818704,0.013115206359904678,1.238845933452937,0.9739870519691628
frozenset({'PAINTED METAL PEARS ASSORTED'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.019518034664029564,0.06938010721907042,0.014469369697600582,0.7413333333333333,10.685099274818704,0.013115206359904678,3.597757317452047,0.9244552759957868
