Step,Loss
0,0.0003300428
1,0.00033001628
2,0.00032999009
3,0.0003299644
4,0.0003299388
5,0.0003299133
6,0.0003298886
7,0.00032986377
8,0.00032983941
9,0.0003298156
10,0.00032979166
11,0.00032976788
12,0.00032974448
13,0.00032972122
14,0.00032969832
15,0.0003296756
16,0.0003296531
17,0.00032963062
18,0.00032960836
19,0.00032958642
20,0.00032956462
21,0.00032954314
22,0.0003295216
23,0.00032950015
24,0.0003294789
25,0.000329458
26,0.0003294369
27,0.00032941616
28,0.00032939552
29,0.00032937498
30,0.00032935452
31,0.00032933458
32,0.00032931435
33,0.00032929433
34,0.00032927413
35,0.00032925437
36,0.00032923478
37,0.0003292151
38,0.0003291958
39,0.00032917623
40,0.00032915705
41,0.00032913778
42,0.00032911863
43,0.00032909977
44,0.0003290808
45,0.000329062
46,0.0003290432
47,0.00032902457
48,0.00032900608
49,0.0003289875
50,0.00032896886
51,0.00032895044
52,0.0003289321
53,0.00032891412
54,0.0003288959
55,0.00032887794
56,0.00032885972
57,0.00032884165
58,0.0003288241
59,0.0003288062
60,0.0003287884
61,0.00032877087
62,0.000328753
63,0.00032873545
64,0.000328718
65,0.00032870058
66,0.00032868303
67,0.00032866583
68,0.00032864884
69,0.00032863152
70,0.00032861423
71,0.00032859735
72,0.00032858015
73,0.0003285633
74,0.0003285465
75,0.0003285296
76,0.00032851272
77,0.00032849575
78,0.00032847933
79,0.00032846275
80,0.00032844621
81,0.00032842957
82,0.00032841292
83,0.00032839636
84,0.0003283801
85,0.00032836388
86,0.00032834758
87,0.0003283311
88,0.00032831507
89,0.00032829918
90,0.0003282828
91,0.00032826685
92,0.00032825072
93,0.00032823492
94,0.0003282188
95,0.00032820285
96,0.00032818742
97,0.00032817156
98,0.00032815602
99,0.0003281403
100,0.0003281245
101,0.00032810905
102,0.00032809365
103,0.00032807793
104,0.00032806268
105,0.00032804708
106,0.00032803172
107,0.0003280165
108,0.00032800107
109,0.00032798602
110,0.00032797092
111,0.00032795582
112,0.00032794088
113,0.00032792555
114,0.00032791073
115,0.00032789563
116,0.00032788076
117,0.00032786577
118,0.00032785122
119,0.00032783602
120,0.00032782173
121,0.0003278069
122,0.00032779216
123,0.0003277775
124,0.00032776326
125,0.00032774865
126,0.00032773384
127,0.00032771975
128,0.00032770532
129,0.00032769103
130,0.00032767677
131,0.00032766222
132,0.000327648
133,0.00032763396
