Date,Value1
2023-01-01,0.0496714153011232
2023-01-02,0.0865069759968601
2023-01-03,0.2644230756393263
2023-01-04,0.4492630617092514
2023-01-05,0.3678535957884555
2023-01-06,0.4582153086013912
2023-01-07,0.7250496337757314
2023-01-08,0.7236475686730259
2023-01-09,0.6732036790915398
2023-01-10,0.8403861946844039
2023-01-11,0.7978336667209838
2023-01-12,0.8471280718905657
2023-01-13,0.9584034260816924
2023-01-14,0.7739570681251793
2023-01-15,0.8141292989416339
2023-01-16,0.9417710865423482
2023-01-17,0.8980234150490741
2023-01-18,1.0219526908750205
2023-01-19,0.8809503190817771
2023-01-20,0.8019399484377706
2023-01-21,1.0516340712930905
2023-01-22,0.8352562503651328
2023-01-23,0.8086939079496855
2023-01-24,0.5954800813439592
2023-01-25,0.6120828103858837
2023-01-26,0.5994528234256121
2023-01-27,0.3891628030158873
2023-01-28,0.452644416185011
2023-01-29,0.2616341597712774
2023-01-30,0.1959054094033977
2023-01-31,0.0660093664836724
2023-02-01,0.2112396483662942
2023-02-02,-0.0757686083906551
2023-02-03,-0.2798696402124966
2023-02-04,-0.1897666704345889
2023-02-05,-0.4892828338266261
2023-02-06,-0.4377835556408486
2023-02-07,-0.7414793597347029
2023-02-08,-0.759667934296401
2023-02-09,-0.682173864105843
2023-02-10,-0.6959406374554393
2023-02-11,-0.8128088848092299
2023-02-12,-0.8932929342143083
2023-02-13,-0.9547222429996736
2023-02-14,-1.1060164204102882
2023-02-15,-1.0540309517356932
2023-02-16,-1.0420816527282148
2023-02-17,-0.8942247315841267
2023-02-18,-0.9594026843080726
2023-02-19,-1.153866762198032
2023-02-20,-0.9190867698298536
2023-02-21,-0.9543330823133528
2023-02-22,-0.9386040031173236
2023-02-23,-0.7560416583310972
2023-02-24,-0.6521593339341913
2023-02-25,-0.592559003337463
2023-02-26,-0.6931163678874431
2023-02-27,-0.5574753055807338
2023-02-28,-0.4054730589446539
2023-03-01,-0.2486637661073574
2023-03-02,-0.298260455909975
2023-03-03,-0.1705071571824362
2023-03-04,-0.1626395542513024
2023-03-05,-0.0711666581650889
2023-03-06,0.2296776373712465
2023-03-07,0.3825221652558468
2023-03-08,0.3356784980988668
2023-03-09,0.5357537201818634
2023-03-10,0.5596907805189517
2023-03-11,0.5418583799821062
2023-03-12,0.7192334486917991
2023-03-13,0.9067271192387626
2023-03-14,0.8115717369582375
2023-03-15,1.0256228386120032
2023-03-16,0.6524163251518563
2023-03-17,1.0325851823248369
2023-03-18,0.9855121062842864
2023-03-19,0.963460941854937
2023-03-20,1.0090667718616884
2023-03-21,0.7975716674075131
2023-03-22,0.9607440320771772
2023-03-23,0.9948873669976216
2023-03-24,1.0737501526586948
2023-03-25,0.8315733319738731
2023-03-26,0.7510750967938165
2023-03-27,0.721876861588437
2023-03-28,0.7959291346026394
2023-03-29,0.6624915174996652
2023-03-30,0.4955136200344672
2023-03-31,0.5131541198512466
2023-04-01,0.3802119875889769
2023-04-02,0.3723063643348109
2023-04-03,0.1073943587616712
2023-04-04,0.0451988750784801
2023-04-05,-0.0616671476143716
2023-04-06,-0.2690026141041109
2023-04-07,-0.191996052105474
2023-04-08,-0.2922229876885684
2023-04-09,-0.4113249515395163
2023-04-10,-0.5246464355838408
2023-04-11,-0.7270181068026343
2023-04-12,-0.7059300508847186
2023-04-13,-0.7698215556480515
2023-04-14,-0.8800390565094631
2023-04-15,-0.8721292258245649
2023-04-16,-0.8631459164846753
2023-04-17,-0.7533638917208278
2023-04-18,-0.953449452078792
2023-04-19,-0.9642783016631586
2023-04-20,-1.0066123699710112
2023-04-21,-1.1900954807874142
2023-04-22,-0.989846052650484
2023-04-23,-0.9601849288855712
2023-04-24,-0.6891458056295505
2023-04-25,-0.9145271776611724
2023-04-26,-0.8159219046576256
2023-04-27,-0.7917945517125166
2023-04-28,-0.83948195321248
2023-04-29,-0.5353298358744376
2023-04-30,-0.4948607302808832
2023-05-01,-0.4056396239486518
2023-05-02,-0.4854782007180217
2023-05-03,-0.1600748676293455
2023-05-04,-0.343322996076505
2023-05-05,-0.0451856519472669
2023-05-06,0.2154890260713702
2023-05-07,-0.0022594507288513
2023-05-08,0.1395382554763165
2023-05-09,0.3035272336770965
2023-05-10,0.3376458967138258
2023-05-11,0.3234427547116536
2023-05-12,0.5710517947790681
2023-05-13,0.5379575201322245
2023-05-14,0.7650382197973756
2023-05-15,0.6919846387317982
2023-05-16,0.997256995646938
2023-05-17,0.8137743796611524
2023-05-18,0.9007264125721984
2023-05-19,1.0457017471558516
2023-05-20,0.8629485878747967
2023-05-21,1.0205146894438644
2023-05-22,1.1301469109786713
2023-05-23,0.8302617218592722
2023-05-24,0.9910493140666408
2023-05-25,0.9703345045718
2023-05-26,0.9847582256005242
2023-05-27,0.735961184347959
2023-05-28,0.6720150403197034
2023-05-29,0.7925445181113413
2023-05-30,0.6988666835721337
2023-05-31,0.6162819391782067
